Name of School,School ID,Family Involvement Score,Teachers Score,Adequate Yearly Progress Made?,Parent Engagement Score,Average Student Attendance,Average Teacher Attendance,"Elementary, Middle, or High School"
Paul Laurence Dunbar Career Academy High School,609676,57,49,No,,76.9,96.0,HS
Adam Clayton Powell Paideia Community Academy Elementary School,610281,66,76,No,46,95.6,95.3,ES
John A Walsh Elementary School,610216,,,No,48,95.1,95.3,ES
Thomas J Waters Elementary School,610220,,,No,52,96.1,95.1,ES
Wendell Smith Elementary School,609978,24,29,No,42,92.1,94.1,ES
Joseph Lovett Elementary School,610043,,,No,49,95.4,95.4,ES
Charles P Steinmetz Academic Centre High School,609732,35,32,No,,79.2,96.2,HS
Gurdon S Hubbard High School,609741,,,No,,89.3,96.4,HS
Joseph Brennemann Elementary School,610242,56,54,No,53,96.5,97.7,ES
John M Smyth Elementary School,610180,,,No,43,92.4,93.3,ES
Inter-American Elementary Magnet School,610078,,,No,51,96.2,96.2,ES
Richard Yates Elementary School,610234,,,No,51,93.7,96.2,ES
Albert G Lane Technical High School,609720,,,Yes,,96.3,96.2,HS
James Monroe Elementary School,610074,,,No,47,95.1,95.8,ES
Carl Schurz High School,609729,36,31,No,,81.2,96.0,HS
Mildred I Lavizzo Elementary School,610208,35,30,No,48,91.5,95.0,ES
Dyett High School,609736,18,25,No,,62.5,93.5,HS
Velma F Thomas Early Childhood Center,610504,,,,55,,95.6,ES
Phoenix Military Academy High School,610304,,,No,52,92.1,97.4,HS
John C Burroughs Elementary School,609829,55,53,No,50,95.6,96.1,ES
West Pullman Elementary School,610224,46,50,No,47,91.2,93.8,ES
William H Prescott Elementary School,610136,,,No,50,93.5,97.6,ES
Chicago Vocational Career Academy High School,609674,43,39,No,,68.8,94.6,HS
Graeme Stewart Elementary School,610187,,,No,47,95.2,96.1,ES
Milton Brunson Math & Science Specialty Elementary School ,609830,,,No,47,91.3,95.0,ES
Henry O Tanner Elementary School,610279,,,No,,91.8,95.6,ES
Mary E Courtenay Elementary Language Arts Center,610355,,,Yes,59,94.9,94.2,ES
William A Hinton Elementary School,610299,,,No,45,91.7,95.1,ES
Daniel S Wentworth Elementary School,610223,32,32,No,,91.6,95.9,ES
Leslie Lewis Elementary School,610036,37,48,No,42,91.8,95.3,ES
Jonathan Burr Elementary School,609828,66,63,Yes,56,95.9,96.9,ES
Jean D Lafayette Elementary School,610031,53,72,No,52,94.1,96.3,ES
Lyman Trumbull Elementary School,610205,,,No,50,94.3,95.2,ES
A.N. Pritzker School,610229,,,No,,94.6,95.6,ES
Ashburn Community Elementary School,610287,76,70,No,51,95.5,97.1,ES
Fort Dearborn Elementary School,609924,,,No,47,93.4,95.9,ES
William T Sherman Elementary School,610172,,,No,49,92.3,95.0,ES
Nathan Hale Elementary School,609960,63,65,Yes,55,94.5,96.2,ES
John T McCutcheon Elementary School,610269,36,42,No,52,94.0,94.8,ES
Charles H Wacker Elementary School,610366,,,No,50,93.4,93.4,ES
Park Manor Elementary School,610115,42,67,No,55,94.9,96.3,ES
George Rogers Clark Elementary School,609795,,,No,47,93.9,96.4,ES
North River Elementary School,610354,60,47,No,50,95.6,96.0,ES
Paul Revere Elementary School,610146,,,No,49,92.4,94.6,ES
John F Eberhart Elementary School,609898,41,32,No,,95.3,95.6,ES
Ames Middle School,609780,17,26,No,50,94.3,96.0,MS
Elizabeth Peabody Elementary School,610119,58,55,No,52,95.2,97.0,ES
Francis Scott Key Elementary School,610020,,,No,44,91.9,94.0,ES
Arthur A Libby Elementary School,610037,,,No,48,90.8,95.1,ES
Columbia Explorers Elementary Academy,610170,64,72,No,52,95.4,97.1,ES
Rosario Castellanos Elementary School,609826,24,31,No,46,96.3,96.9,ES
Hyman G Rickover Naval Academy High School,610390,,,No,53,92.9,95.9,HS
South Shore Fine Arts Academy,610530,,,No,56,93.6,96.3,ES
James Russell Lowell Elementary School,610044,,,No,45,93.2,95.7,ES
George W Curtis Elementary School,609900,,,No,68,93.8,98.1,ES
Mark Twain Elementary School,610206,76,71,No,60,96.3,97.8,ES
Cesar E Chavez Multicultural Academic Center Elementary School,610148,52,50,No,45,95.1,96.1,ES
Philip Rogers Elementary School,610147,76,64,No,53,96.4,95.1,ES
Daniel Boone Elementary School,609804,50,53,No,50,95.5,95.4,ES
Laura S Ward Elementary School,610133,,,No,,92.9,97.5,ES
Washington D Smyser Elementary School,610179,,,No,,95.5,97.2,ES
Robert Nathaniel Dett Elementary School,610252,,,No,51,94.4,94.8,ES
Suder Montessori Magnet Elementary School,610405,,,Yes,,96.6,95.7,ES
William J & Charles H Mayo Elementary School,610061,55,47,No,50,95.3,95.2,ES
Robert Fulton Elementary School,609929,41,39,No,45,95.1,96.8,ES
Lake View High School,609719,,,No,49,87.7,96.2,HS
John H Vanderpoel Elementary Magnet School,610207,,,Yes,55,97.2,96.2,ES
Hope College Preparatory High School,609768,51,35,No,,72.2,94.3,HS
Walter Q Gresham Elementary School,609955,49,57,No,48,95.5,95.0,ES
Joyce Kilmer Elementary School,610022,43,42,No,49,96.0,96.9,ES
Ferdinand Peck Elementary School,610120,43,37,No,44,96.3,97.2,ES
Nicholson Technology Academy,609793,37,39,No,,93.4,97.0,ES
Alessandro Volta Elementary School,610209,61,56,No,51,96.4,95.9,ES
George H Corliss High School,609761,52,54,No,,71.3,95.2,HS
Mount Vernon Elementary School,610086,26,19,No,47,93.3,94.1,ES
Bret Harte Elementary School,609969,,,Yes,47,94.2,95.4,ES
Maria Saucedo Elementary Scholastic Academy,610017,,,No,43,96.8,96.9,ES
Franklin Elementary Fine Arts Center,609926,,,Yes,58,95.9,95.3,ES
Ellen Mitchell Elementary School,610073,64,90,Yes,56,95.5,97.7,ES
Orville T Bright Elementary School,609811,,,No,41,92.2,95.3,ES
Theodore Roosevelt High School,609728,,,No,,82.3,96.1,HS
